"","HDI","e.finit.n","e.finit.s","e.grth.n","e.inov.n","e.inov.s","e.cinov.n","e.cinov.s","v.spoll.n","v.spoll.s","v.cfsus.n","v.cfsus.s","v.drop.n","v.drop.s"
"139",0.039226,2.436,2.764,0.03516,0.04238,0.01146,0.00137,7e-05,2.49,3.87,1.0624,0.9136,0.00141,0.00777
"140",0.0291814,1.924,3.332,0.01964,0.0467,0.01182,0.00481,0.00445,4.13,9.67,1.2528,0.6,0.00841,0.00519
"141",0.0145062,3.748,1.26,0.00652,0.03842,-0.01458,0.00773,0.00785,1.91,4.95,1.216,1.1456,0.00105,0.00057
"142",-0.110953,0.332,1.188,0.03996,-0.00574,-0.02094,0.00979,0.00713,6.33,8.69,0.8256,0.848,0.00275,0.00537
"143",0.0134545,2.084,0.34,0.00884,0.0323,-0.02214,0.00441,0.00535,1.51,3.51,0.6288,0.9344,0.00263,0.00167
"144",-0.00442079,3.684,0.02,0.01132,0.02342,-0.0195,0.00075,0.00951,4.63,2.31,0.7056,1.1616,0.00707,0.00741
"145",-0.0390179,0.396,0.068,0.02148,0.04586,-0.00966,0.00579,0.00907,7.45,3.15,0.5248,0.9504,0.00497,0.00679
"146",0.0472264,3.82,2.748,0.03748,0.0455,0.00486,0.00327,0.00155,3.27,3.11,0.9888,0.5968,0.00273,0.00941
"147",0.035393,1.772,3.228,0.01388,0.04946,0.0147,0.00163,0.00631,6.39,6.77,1.0496,0.5936,0.00093,0.00901
"148",-0.0159651,3.724,2.972,0.00428,0.02438,-0.02322,0.00221,0.00891,5.57,3.35,0.5648,0.9856,0.00557,0.00273
"149",-0.101008,1.46,3.5,0.02484,-0.00826,-0.00738,0.00743,0.00505,3.83,3.29,0.9248,1.2128,0.00315,0.00911
"150",0.0260971,2.476,3.14,0.00244,0.04754,0.00318,0.00819,0.00689,4.75,3.53,1.2944,0.7568,0.00081,0.00891
"151",0.0225866,3.636,1.14,0.02948,0.03314,-0.00066,0.00011,0.00981,3.73,1.31,1.2992,0.672,0.00299,0.00277
"152",-0.0369683,0.388,0.628,0.03164,0.01586,-0.00654,0.00827,0.00591,0.75,9.81,0.7536,0.6208,0.00169,0.00251
"153",0.0354654,2.116,1.084,0.01612,0.04526,0.02922,0.00027,0.00831,8.41,4.39,0.9712,0.6224,0.00657,0.00491
"154",0.039164,3.86,1.716,0.03564,0.04466,0.01098,0.00463,0.00883,4.29,8.31,0.9968,0.5568,0.00407,0.00311
"155",-0.051598,1.74,3.404,0.03828,0.01574,-3e-04,0.00809,0.00773,0.01,1.39,0.6,0.6528,0.00947,0.00595
"156",-0.0295336,2.5,3.3,0.03956,0.00122,-6e-05,0.00345,0.00191,3.89,3.21,0.6368,0.9968,0.00107,0.00227
"157",0.0406658,2.148,3.884,0.03972,0.0311,0.00546,0.00683,0.00531,2.69,6.35,1.0592,0.6944,0.00025,0.00613
"158",0.0205968,3.548,2.028,0.01444,0.02918,-0.01986,0.00501,0.00249,1.47,3.25,0.744,1.0704,0.00479,0.00795
"159",-0.0382222,0.972,3.876,0.02804,-0.0055,0.0189,0.00439,0.00963,3.31,8.79,1.1456,0.8864,0.00127,0.00975
"160",0.0143504,0.852,2.636,0.01068,0.03878,-0.00714,0.00513,0.00681,8.37,1.87,0.576,0.6368,0.00971,0.00385
"161",0.0225439,1.548,3.524,0.01308,0.04442,0.02754,0.00817,0.00273,2.17,9.85,1.1328,1.048,0.00253,0.00727
"162",0.0087902,2.596,1.868,0.03836,-0.00502,0.01374,0.00219,0.00217,8.67,3.59,0.6544,0.6896,0.00839,0.00951
"163",0.0153303,1.06,2.828,0.00612,0.04514,-0.00174,0.00273,0.00303,6.29,8.45,1.1168,1.2512,0.00255,0.00841
"164",0.0131015,0.9,2.516,0.00708,0.0173,-0.02718,0.00151,0.00097,5.21,3.19,0.5024,0.6432,0.00973,0.00457
"165",-0.0146945,3.812,3.988,0.00572,-0.00322,0.0207,0.00241,0.00025,3.03,0.37,0.6816,0.9312,0.00643,0.00607
"166",0.00645181,0.204,3.452,0.00588,-0.00394,0.02106,0.00711,0.00975,2.93,5.33,0.5424,0.9184,0.00245,0.00145
